Category,Location,Challenge Name,Tagline,Description,More Info Link,Unlocks/Revealed On
The Essentials,The HUB (Warner Hall),The Hubbub At The Hub,Head to The Hub to learn more about enrollment services!,"The HUB delivers comprehensive services and counsel to students and families for matters related to financial aid, billing and payments, ID cards, and registration and academic records. In direct support of student enrollment and persistence, The HUB values personal attention and focuses on providing technologically responsive tools in a professional, forward-thinking and accessible environment.",https://www.cmu.edu/hub/,08/17/2025 6:00 PM
The Essentials,Office of Disability Resources,Accomodation Station,Find the Office of Disability Resources!,"The Office of Disability Resources provides vibrant and accessible resources on disability issues for all members of the CMU community. Their mission includes providing physical, digital and programmatic campus access to all events and information within the Carnegie Mellon community for students and visitors to our campus. They work to ensure that qualified individuals receive reasonable accommodations as guaranteed by the Americans with Disabilities Act (ADA) and Section 504 of the Rehabilitation Act of 1973. ",https://www.cmu.edu/disability-resources/,08/17/2025 6:00 PM
The Essentials,University Health Services (UHS),Doctor's Visit,Visit the University Health Services!,"Carnegie Mellon's University Health Services (UHS) is dedicated to enhancing students' well-being through convenient access to healthcare, including sexual and reproductive health. Three Wellness to Go vending machines are available on campus.",https://www.cmu.edu/health-services/index.html,08/17/2025 6:00 PM
The Essentials,Wean Hall,Color Printing Power: Wean Hall,Find the Color Printer in Wean Hall Floor 5!,"The Campus Printing service allows you to print from your computer or mobile phone to printers across campus. Send the file to the printer, then release the job at the printer by tapping your CMU ID. Central print release stations are available in computer labs, university libraries, some resident halls and public areas across campus. Some locations offer color printing, special paper sizes, scanning and copying. All students, faculty and staff are allotted a $40/semester print quota, which is associated with your CMU ID and debited when you release a print job at a campus printer. Computing Services also consults with departments to add departmental printers to the central print service.",https://www.cmu.edu/computing/services/endpoint/printing-kiosks/campus-printing.html,08/18/2025 12:00 PM
The Essentials,Office of Human Resources,The Office of Human Resources,Find the Office of Human Resources!,"From onboarding to retirement, the Office of Human Resources will help you find career success at Carnegie Mellon. They offer a range of programs and resources tailored to your needs, whether you're a new hire navigating benefits or a seasoned professional seeking career development opportunities.",https://www.cmu.edu/hr/index.html,08/18/2025 12:00 PM
The Essentials,The University Center Mailroom,You've Got Mail!,Pick up or deliver some mail in the University Center!,You can send mail to and from Carnegie Mellon University at the University Center Mailroom. Postal Services is CMU's full-service United States Postal Service (USPS) mailing and shipping facility.,https://www.cmu.edu/postoffice/,08/18/2025 12:00 PM
The Essentials,PNC Bank (University Center),Let's Be Financially Responsible!,Do some banking at the PNC Bank in the Cohon University Center!,"Carnegie Mellon has an agreement with PNC to provide the campus community with convenient banking options, located on the lower level of the UC. Visit here for your banking needs!",https://www.cmu.edu/idplus/pnc/index.html,08/18/2025 12:00 PM
The Essentials,The Center,Can't Stop The Center,Visit The Center in the University Center!,"The Center for Student Diversity and Inclusion actively cultivates a strong, diverse and inclusive community capable of living out these values and advancing research, creativity, learning and development that changes the world. The Center offers resources to enhance an inclusive and transformative student experience in areas such as campus climate and intergroup dialogue. Additionally, the Center supports and connects historically underrepresented students and first-generation college students in a setting where students’ differences and talents are appreciated and reinforced.",https://www.cmu.edu/student-diversity/,08/19/2025 12:00 PM
The Essentials,Counseling and Psychological Services (CAPS),Somebody To Lean On,Check out the Counseling and Psychological Services!,"Counseling and Psychological Services (CaPS) provides a safe, confidential environment for students to talk about personal and academic concerns. All students currently enrolled at the Pittsburgh campus are eligible for services at CaPS at no additional cost to them, and all services are confidential. Call CaPs at 412-268-2922.",https://www.cmu.edu/counseling/,08/19/2025 12:00 PM
The Essentials,Hunt Library,Color Printing Power: Hunt Library,Find the Color Printer in Hunt Library Floor 1!,"The Campus Printing service allows you to print from your computer or mobile phone to printers across campus. Send the file to the printer, then release the job at the printer by tapping your CMU ID. Central print release stations are available in computer labs, university libraries, some resident halls and public areas across campus. Some locations offer color printing, special paper sizes, scanning and copying. All students, faculty and staff are allotted a $40/semester print quota, which is associated with your CMU ID and debited when you release a print job at a campus printer. Computing Services also consults with departments to add departmental printers to the central print service.",https://www.cmu.edu/computing/services/endpoint/printing-kiosks/campus-printing.html,08/19/2025 12:00 PM
